flex_pinky,flex_ring,flex_middle,flex_index,flex_thumb,touch_index,touch_middle,touch_ring,touch_pinky,touch_r,touch_u,ax,ay,az,gx,gy,gz,label,rep,session,day
0.9163636363636364,0.9608843537414966,0.7043795620437956,0.5898617511520737,1.0,0.0,1.0,1.0,1.0,1.0,0.0,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,O,0,2026-08-22_23-06-48,2026-08-23
0.9309090909090909,1.0,0.42700729927007297,0.7050691244239631,0.3624161073825503,0.0,1.0,1.0,1.0,1.0,0.0,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,O,0,2026-08-22_23-06-48,2026-08-23
0.9672727272727273,1.0,0.9744525547445255,0.9447004608294931,0.8053691275167785,0.0,1.0,1.0,1.0,1.0,0.0,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,O,0,2026-08-22_23-06-48,2026-08-23
0.98,1.0,0.7773722627737226,0.7373271889400922,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,O,0,2026-08-22_23-06-48,2026-08-23
0.8927272727272727,0.9931972789115646,0.7773722627737226,0.9493087557603687,0.3624161073825503,0.0,1.0,1.0,1.0,1.0,0.0,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,O,0,2026-08-22_23-06-48,2026-08-23
0.9981818181818182,0.8554421768707483,0.5182481751824818,0.7972350230414746,0.8053691275167785,0.0,1.0,1.0,1.0,1.0,0.0,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,O,0,2026-08-22_23-06-48,2026-08-23
0.9018181818181819,0.8554421768707483,0.5291970802919708,0.631336405529954,0.8053691275167785,0.0,1.0,1.0,1.0,1.0,0.0,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,O,0,2026-08-22_23-06-48,2026-08-23
0.9418181818181818,0.9608843537414966,0.7700729927007299,0.6405529953917051,0.10738255033557047,0.0,1.0,1.0,1.0,1.0,0.0,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,O,0,2026-08-22_23-06-48,2026-08-23
0.8545454545454545,1.0,0.9525547445255474,0.7465437788018433,0.37583892617449666,0.0,1.0,1.0,1.0,1.0,0.0,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,O,0,2026-08-22_23-06-48,2026-08-23
0.8945454545454545,0.9812925170068028,0.6897810218978102,0.9262672811059908,0.8053691275167785,0.0,1.0,1.0,1.0,1.0,0.0,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,-3.0517578125e-05,O,0,2026-08-22_23-06-48,2026-08-23
