flex_pinky,flex_ring,flex_middle,flex_index,flex_thumb,touch_index,touch_middle,touch_ring,touch_pinky,touch_r,touch_u,ax,ay,az,gx,gy,gz,label,rep,session,day
1.0,0.8660229330114665,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.541259765625,0.0872802734375,0.0849609375,-0.02197265625,-0.020355224609375,0.016754150390625,M,0,2026-08-24_23-25-27,2026-08-25
1.0,0.8672299336149668,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.554931640625,0.09716796875,0.081298828125,-0.028411865234375,-0.02117919921875,0.013946533203125,M,0,2026-08-24_23-25-27,2026-08-25
1.0,0.8648159324079662,0.9774774774774775,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5506591796875,0.107177734375,0.0836181640625,-0.023468017578125,-0.025146484375,0.01507568359375,M,0,2026-08-24_23-25-27,2026-08-25
1.0,0.8684369342184671,0.9797297297297297,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5472412109375,0.0980224609375,0.0775146484375,-0.012725830078125,-0.0250244140625,0.01409912109375,M,0,2026-08-24_23-25-27,2026-08-25
1.0,0.8877489438744719,0.9774774774774775,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5521240234375,0.094970703125,0.0762939453125,-0.003143310546875,-0.018707275390625,0.012939453125,M,0,2026-08-24_23-25-27,2026-08-25
1.0,0.8901629450814725,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5557861328125,0.0928955078125,0.0814208984375,-0.006378173828125,-0.02008056640625,0.010498046875,M,0,2026-08-24_23-25-27,2026-08-25
1.0,0.8648159324079662,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.556396484375,0.092529296875,0.06884765625,-0.012451171875,-0.0216064453125,0.00897216796875,M,0,2026-08-24_23-25-27,2026-08-25
1.0,0.8648159324079662,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5550537109375,0.09423828125,0.0682373046875,-0.016021728515625,-0.02215576171875,0.00579833984375,M,0,2026-08-24_23-25-27,2026-08-25
1.0,0.8648159324079662,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.556640625,0.10107421875,0.0692138671875,-0.015594482421875,-0.022735595703125,0.00225830078125,M,0,2026-08-24_23-25-27,2026-08-25
1.0,0.8696439348219674,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5567626953125,0.1075439453125,0.0662841796875,-0.015289306640625,-0.015350341796875,-0.000701904296875,M,0,2026-08-24_23-25-27,2026-08-25
1.0,0.8708509354254678,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5599365234375,0.107421875,0.070556640625,-0.008636474609375,-0.0201416015625,0.000885009765625,M,0,2026-08-24_23-25-27,2026-08-25
1.0,0.8636089318044659,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.55126953125,0.105712890625,0.063232421875,-0.009613037109375,-0.016021728515625,-0.0047607421875,M,0,2026-08-24_23-25-27,2026-08-25
