flex_pinky,flex_ring,flex_middle,flex_index,flex_thumb,touch_index,touch_middle,touch_ring,touch_pinky,touch_r,touch_u,ax,ay,az,gx,gy,gz,label,rep,session,day
1.0,1.0,0.9583333333333334,1.0,0.4434782608695652,1.0,1.0,1.0,1.0,0.0,1.0,0.554443359375,-0.0224609375,0.0546875,-0.011474609375,-0.0103759765625,-0.006988525390625,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,1.0,0.9676674364896074,0.5130434782608696,1.0,1.0,1.0,1.0,0.0,1.0,0.551025390625,-0.020751953125,0.0543212890625,-0.01177978515625,-0.011871337890625,-0.004364013671875,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,0.9647435897435898,0.9168591224018475,0.3652173913043478,1.0,1.0,1.0,1.0,0.0,1.0,0.5574951171875,-0.017822265625,0.0460205078125,-0.01263427734375,-0.0093994140625,-0.00067138671875,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,0.9487179487179487,1.0,0.48695652173913045,1.0,1.0,1.0,1.0,0.0,1.0,0.555419921875,-0.020751953125,0.053955078125,-0.013427734375,-0.00927734375,0.003753662109375,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,0.9631410256410257,0.9030023094688222,0.5304347826086957,1.0,1.0,1.0,1.0,0.0,1.0,0.556396484375,-0.028076171875,0.0540771484375,-0.017608642578125,-0.00689697265625,0.0048828125,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,0.9759615384615384,1.0,0.45217391304347826,1.0,1.0,1.0,1.0,0.0,1.0,0.553955078125,-0.029296875,0.056396484375,-0.015289306640625,-0.004486083984375,0.006622314453125,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,0.9519230769230769,0.8521939953810623,0.4608695652173913,1.0,1.0,1.0,1.0,0.0,1.0,0.557373046875,-0.034912109375,0.05908203125,-0.013519287109375,-0.00457763671875,0.007843017578125,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,0.9599358974358975,0.9815242494226328,0.3565217391304348,1.0,1.0,1.0,1.0,0.0,1.0,0.5579833984375,-0.0384521484375,0.058837890625,-0.0140380859375,-0.00799560546875,0.005950927734375,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,0.9871794871794872,0.930715935334873,0.40869565217391307,1.0,1.0,1.0,1.0,0.0,1.0,0.5589599609375,-0.04052734375,0.064453125,-0.012969970703125,-0.01025390625,0.005218505859375,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,0.9871794871794872,0.9168591224018475,0.4,1.0,1.0,1.0,1.0,0.0,1.0,0.5623779296875,-0.04150390625,0.0634765625,-0.0167236328125,-0.01300048828125,0.00677490234375,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.9899053627760253,0.9599358974358975,0.9722863741339491,0.4608695652173913,1.0,1.0,1.0,1.0,0.0,1.0,0.5576171875,-0.0465087890625,0.05908203125,-0.01654052734375,-0.01544189453125,0.00457763671875,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,0.9903846153846154,0.9815242494226328,0.48695652173913045,1.0,1.0,1.0,1.0,0.0,1.0,0.558837890625,-0.04248046875,0.05810546875,-0.019683837890625,-0.009002685546875,0.00262451171875,A,0,2026-08-24_22-04-28,2026-08-24
1.0,1.0,0.9663461538461539,0.9353348729792148,0.3652173913043478,1.0,1.0,1.0,1.0,0.0,1.0,0.558837890625,-0.0399169921875,0.0556640625,-0.016082763671875,-0.0069580078125,0.001556396484375,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.9116719242902208,0.9711538461538461,0.9722863741339491,0.5130434782608696,1.0,1.0,1.0,1.0,0.0,1.0,0.5621337890625,-0.0364990234375,0.060791015625,-0.01361083984375,-0.01007080078125,-0.000518798828125,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.9369085173501577,0.9791666666666666,0.976905311778291,0.5043478260869565,1.0,1.0,1.0,1.0,0.0,1.0,0.5592041015625,-0.0340576171875,0.0494384765625,-0.016265869140625,-0.011474609375,-0.001434326171875,A,0,2026-08-24_22-04-28,2026-08-24
1.0,0.9861198738170347,0.9599358974358975,0.9445727482678984,0.5304347826086957,1.0,1.0,1.0,1.0,0.0,1.0,0.55517578125,-0.0301513671875,0.0489501953125,-0.015594482421875,-0.00787353515625,-0.00152587890625,A,0,2026-08-24_22-04-28,2026-08-24
