Label,Mode,FlexPinky,FlexRing,FlexMiddle,FlexIndex,FlexThumb,TouchIndex,TouchMiddle,TouchRing,TouchPinky,TouchR,TouchU,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
H,1,392,709,1267,479,2602,1,1,1,1,1,0,2372,-13900,-8584,-649,-159,232
H,1,532,673,1246,479,2607,1,1,1,1,1,0,2272,-14056,-8612,-952,-100,359
H,1,393,710,1157,455,2608,1,1,1,1,1,0,2316,-13788,-8624,-566,-215,96
H,1,592,510,1205,610,2608,1,1,1,1,1,0,2284,-13660,-8828,-552,-243,193
H,1,445,735,1089,484,2608,1,1,1,1,1,0,2280,-13932,-8704,-372,-130,152
H,1,400,652,1239,529,2590,1,1,1,1,1,0,2172,-13924,-8580,-412,38,80
H,1,381,678,1208,454,2638,1,1,1,1,1,0,2232,-13848,-8432,-427,-135,110
H,1,351,702,1334,400,2623,1,1,1,1,1,0,2128,-14240,-8772,-596,-520,204
H,1,404,594,1293,581,2528,1,1,1,1,1,0,2136,-14008,-8948,-768,-304,100
H,1,413,733,1249,493,2608,1,1,1,1,1,0,1948,-13836,-8628,-452,-207,37
H,1,345,704,1263,496,2597,1,1,1,1,1,0,2148,-13860,-8612,-713,4,216
H,1,375,716,1238,496,2581,1,1,1,1,1,0,2412,-13896,-8520,-255,-108,20
H,1,471,608,1254,471,2638,1,1,1,1,1,0,2312,-14052,-8732,-293,-284,20
H,1,505,651,1120,475,2656,1,1,1,1,1,0,2344,-13620,-8428,-572,-357,110
H,1,383,689,1269,490,2608,1,1,1,1,1,0,2256,-13692,-8684,-643,-680,436
H,1,382,664,1223,543,2583,1,1,1,1,1,0,2248,-14144,-8736,-479,-382,273
H,1,419,715,1195,503,2620,1,1,1,1,1,0,2192,-13852,-8640,-544,-230,140
H,1,343,815,1110,422,2694,1,1,1,1,1,0,2252,-14000,-8548,-524,-539,246
H,1,267,869,1247,432,2608,1,1,1,1,1,0,2108,-13952,-8728,-712,-442,88
H,1,375,723,1288,496,2678,1,1,1,1,1,0,2084,-13948,-8792,-545,-333,118
H,1,449,691,1213,465,2615,1,1,1,1,1,0,2116,-13812,-8692,-558,-424,198
H,1,348,710,1258,464,2624,1,1,1,1,1,0,2144,-13768,-8736,-469,-334,122
H,1,298,757,1389,483,2559,1,1,1,1,1,0,1936,-13864,-8728,-578,-366,273
H,1,128,587,1306,474,2529,1,1,1,1,1,0,2036,-13576,-8528,-367,-49,20
H,1,40,656,1187,502,2642,1,1,1,1,1,0,2084,-13284,-8096,-458,-757,649
H,1,414,720,1207,483,2582,1,1,1,1,1,0,2004,-14420,-9132,-802,-652,797
H,1,373,707,1187,480,2613,1,1,1,1,1,0,1864,-14348,-9232,-237,-77,-146
H,1,469,707,1277,421,2618,1,1,1,1,1,0,2136,-13904,-8760,-314,67,-273
H,1,528,662,1148,511,2633,1,1,1,1,1,0,1960,-14000,-8616,-800,-104,253
H,1,409,781,1188,470,2625,1,1,1,1,1,0,1832,-14048,-8644,-719,-502,332
H,1,386,719,1264,503,2559,1,1,1,1,1,0,1884,-13680,-8612,-494,60,-105
H,1,414,630,1218,431,2620,1,1,1,1,1,0,1844,-13868,-8564,-429,-57,-48
H,1,363,761,1142,530,2593,1,1,1,1,1,0,2064,-13880,-8580,-846,-138,278
H,1,386,802,1183,409,2628,1,1,1,1,1,0,2048,-13952,-8800,-291,-514,164
H,1,364,675,1236,487,2607,1,1,1,1,1,0,2040,-13904,-8740,-640,-253,209
H,1,417,696,1190,484,2610,1,1,1,1,1,0,1984,-13836,-8656,-425,-369,103
H,1,321,599,1234,477,2642,1,1,1,1,1,0,2096,-13900,-8692,-633,-393,276
H,1,290,670,1168,529,2555,1,1,1,1,1,0,2056,-13836,-8596,-359,-176,-15
H,1,316,698,1201,448,2559,1,1,1,1,1,0,2084,-13844,-8788,-674,-142,52
H,1,386,685,1290,484,2595,1,1,1,1,1,0,1964,-13764,-8804,-331,-390,114
H,1,405,688,1229,466,2591,1,1,1,1,1,0,1996,-13928,-8808,-621,-157,240
H,1,333,737,1315,452,2635,1,1,1,1,1,0,1980,-13768,-8596,-496,-155,185
H,1,401,679,1280,415,2635,1,1,1,1,1,0,1840,-13900,-8984,-572,-269,331
H,1,337,656,1297,567,2554,1,1,1,1,1,0,1896,-13980,-8672,-322,-65,110
H,1,403,679,1169,496,2582,1,1,1,1,1,0,1904,-14056,-8612,-372,-180,99
H,1,390,662,1275,496,2594,1,1,1,1,1,0,1916,-13896,-8556,-645,-412,371
H,1,401,645,1220,507,2586,1,1,1,1,1,0,1984,-14188,-8828,-538,-290,173
